K	i	filename	clus
64	26	橋本環奈_W14-1542-191215_0132-0484-0057-0409.jpg	2
64	27	武井咲_2000055089_0047-0149-0041-0143.jpg	8
64	28	水瀬いのり_W15-1367-171213_0181-0482-0064-0365.jpg	22
64	29	河北麻友子_2000051560_0051-0161-0043-0153.jpg	7
64	30	波瑠_2000021353_0050-0170-0043-0163.jpg	32
64	31	浜辺美波_2000072988_0046-0153-0063-0170.jpg	12
64	32	白石晴香_2000090444_0050-0150-0031-0131.jpg	18
64	33	福原遥_2000053360_0062-0163-0041-0142.jpg	13
64	34	美山加恋_W05-0078-200117_0158-0510-0119-0471.jpg	38
64	35	荻野可鈴_2000066925_0049-0147-0071-0169.jpg	36
64	36	荻野可鈴_W09-4154-191116_0190-0521-0082-0413.jpg	34
64	37	谷村美月_2000006126_0033-0146-0051-0164.jpg	39
64	38	谷村美月_W05-0527-200315_0147-0505-0129-0487.jpg	17
64	39	足立梨花_2000055325_0042-0127-0061-0146.jpg	3
64	40	麻倉もも_W14-0585-181114_0177-0489-0128-0440.jpg	10
